Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
3.095907583,0.623169493,4.304536268,-4.520919793,6.273443112
3.105863583,1.461754504,3.862013725,-4.581163071,6.167570942
3.115819583,2.976343572,3.717419976,-4.438970481,6.510168298
3.125776583,3.471846566,3.602346772,-4.303413895,6.599241775
3.135732583,3.377853744,3.766833918,-3.888558623,6.381208494
3.145688583,3.057039533,4.07426356,-2.076079645,5.500474612
3.155644583,1.124015381,4.742039562,1.350412116,5.057070561
3.165600583,-1.253601082,5.544750296,4.845136791,7.46934549
3.175557583,-3.0633785,5.371859824,6.887884383,9.256571562
3.185513583,-3.63811536,3.335423132,6.650385686,8.281821093
3.195469583,-3.659645392,1.213829783,5.261218225,6.522791147
3.205425583,-3.222672734,-0.883624432,4.640714039,5.718622078
3.215381583,-2.60311492,-2.820191047,3.294896665,5.058263423
3.225337583,-2.536969462,-4.432278342,1.972565217,5.474698064
3.235294583,-2.201681784,-4.525028339,0.761979323,5.089587079
3.245250583,-0.508898966,-3.883839627,-0.223234999,3.923394228
3.255206583,0.858363949,-3.774009914,-1.570541074,4.176905405
3.265162583,1.346475624,-4.189853951,-2.477873992,5.050518019
3.275118583,1.346746058,-4.516324466,-1.908460438,5.084597611
3.285074583,1.767452639,-5.039937365,-1.485185759,5.543521824
3.295031583,2.032642434,-5.59489134,-1.346021442,6.102967974
3.304987583,2.049217829,-5.884753023,-0.197566307,6.234472255
3.314943583,1.210166649,-8.166365806,0.179092029,8.257487981
3.324899583,0.07118298,-9.919304341,0.147120624,9.92065069
3.334855583,-0.796295755,-10.13226812,0.326122606,10.16874133
3.344811583,-0.877981503,-9.355955518,0.097048577,9.39756211
3.354768583,-0.595611858,-7.541650456,0.948552865,7.62436867
3.364724583,-0.505079418,-5.857177554,2.667928382,6.455964371
3.374680583,-1.229132093,-4.939084589,2.416530853,5.634265138
3.384636583,-1.414242807,-4.721507064,1.2756847,5.091176988
3.394592583,0.108639366,-4.61159929,-0.577075161,4.648834936
3.404548583,2.836305973,-4.349155202,-3.24218577,6.121401074
3.414505583,4.388007026,-3.986115323,-5.048371389,7.786512358
3.424461583,5.055239528,-2.935988721,-4.761898752,7.539970569
3.434417583,4.645599387,-2.455112536,-2.829861172,5.968021907
3.444373583,3.556540854,-2.635882716,-0.335393951,4.43952133
3.454329583,2.346530618,-2.767691528,1.174112132,3.813772625
3.464285583,0.925674756,-1.806005817,4.294529051,4.749895845
3.474242583,0.467190923,-0.368812543,6.36761843,6.39537759
3.484198583,-1.201073497,1.356085085,5.214364486,5.520067146
3.494154583,-2.879725057,4.28468731,4.709445135,6.987863424
3.504110583,-3.560488309,6.101070181,4.037094857,8.136231882
3.514066583,-2.192983759,5.803873751,2.813038732,6.812291479
3.524022583,0.294860613,4.078827312,1.56903834,4.380143415
3.533979583,1.912448385,2.799022956,-0.110711766,3.391790888
3.543935583,2.977641361,2.265635852,-1.60471688,4.071187806
3.553891583,2.619211135,1.911999026,-2.590515339,4.150515266
3.563847583,0.94750329,2.334820692,-3.508424116,4.319512696
3.573803583,-1.182130858,4.573978012,-2.643591101,5.413620058
3.583760583,-1.797035311,7.819662171,2.582377769,8.428827162
3.593716583,-0.843353269,10.50986377,4.94095219,11.64394648
3.603672583,-1.394405251,10.60559906,1.555816031,10.80942463
3.613628583,-0.881031265,9.700700921,1.082327219,9.800573793
3.623584583,0.125588983,8.311473234,1.029568961,8.375940076
3.633540583,-0.164211304,6.38613013,0.716013776,6.428242304
3.643497583,-0.103240632,4.976958759,-0.864928325,5.052611021
3.653453583,0.533695545,4.878234078,-3.230009528,5.874943421
3.663409583,1.230711133,4.396927246,-5.16947775,6.897181983
3.673365583,1.927078703,3.537271355,-6.766435375,7.874678956
3.683321583,2.269803016,2.75130383,-7.366355023,8.184428192
3.693277583,0.861879587,2.6696843,-4.924777622,5.667758403
3.703234583,-1.919648354,2.334983391,-0.141709026,3.026099583
3.713190583,-4.089475969,4.443989146,5.570869809,8.216291357
3.723146583,-3.326362579,7.406291506,10.40670953,13.19914562
3.733102583,-3.670796617,6.515123801,5.084782586,9.043041517
3.743058583,-3.959124575,2.980513806,1.982372752,5.337408704
3.753014583,-2.226414483,0.979770272,2.349013638,3.381528694
3.762971583,-2.553902706,-0.664650737,2.27795652,3.486153402
3.77292775,-3.487412732,-2.182517973,1.536721364,4.391690428
3.78288375,-3.519730293,-3.10385702,0.311173614,4.703111603
3.79283975,-2.582420746,-3.617008958,-0.597013582,4.484202931
3.80279575,-1.523873715,-4.849673645,-0.259395935,5.090069923
3.81275275,-1.224298199,-5.711521073,-0.119908851,5.842495801
3.82270875,-0.340926806,-6.043852252,-0.470353535,6.071705986
3.83266475,1.029843415,-6.674706595,-1.128310307,6.847289225
3.84262075,2.505250071,-6.636358801,-1.41925431,7.234073461
3.85257675,3.283011614,-7.270296965,-0.671438112,8.005386459
3.86253275,2.662911471,-9.176820804,-0.090443562,9.555800208
3.87248975,1.889058791,-10.51251139,0.763595493,10.70815189
3.88244575,1.446989554,-10.76639515,1.234024458,10.93306268
3.89240175,0.92150613,-9.874601208,1.304029078,10.00287031
3.90235775,-0.008972845,-8.143547047,1.945092074,8.372623376
3.91231375,-0.255790688,-7.138853896,1.273455741,7.256056322
3.92226975,-0.083446345,-7.684438877,-0.861829886,7.733066332
3.93222675,0.771394144,-9.065331359,-2.731931419,9.499406868
3.94218275,2.06933342,-8.559017447,-3.953393134,9.65236954
3.95213875,2.977278834,-7.307742534,-5.41926554,9.572655284
3.96209475,2.929111226,-4.91313757,-6.552629596,8.698020923
3.97205075,1.968698161,-2.203406567,-5.523588638,6.264248111
3.98200775,0.613644671,-1.334145601,-2.594874439,2.98158978
3.99196375,-0.679872575,-2.230064315,0.556405254,2.396873041
4.00191975,-1.614775553,-3.471189632,3.071312587,4.908117618
4.01187575,-2.855546236,-3.605329729,4.705386583,6.579757568
4.02183175,-5.146249686,-1.837734856,6.219432444,8.279039507
4.03178775,-6.613205581,0.967304593,6.768985346,9.512587915
4.04174475,-5.679919796,4.014763463,5.927892026,9.138912322
4.05170075,-2.95946763,6.114422883,4.277423022,8.027512912
4.06165675,0.074560917,6.0274245,1.930197462,6.329381303
4.07161275,2.250808044,5.554002931,-0.627441323,6.025509772
